Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,snow_depth_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,snow_interval_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
YNWC1,02/15/2022 21:02 UTC,47,51,5,213,11,411,0,11,,,12.8,242,,SSW,,29.64,,
YNWC1,02/16/2022 21:02 UTC,55,29,4,245,9,379,0,9,,,12.7,208,,WSW,,23.13,,
YNWC1,02/17/2022 21:02 UTC,58,24,4,221,9,390,0,9,,,12.6,215,,SW,,21.24,,
YNWC1,02/18/2022 21:02 UTC,62,22,3,260,7,393,0,7,,,12.6,226,,W,,22.58,,
YNWC1,02/19/2022 21:02 UTC,66,18,3,267,8,426,0,8,,,12.6,216,,W,,21.2,,
YNWC1,02/20/2022 21:02 UTC,59,23,3,225,5.99,259,0,5.99,,,12,215,,SW,,21.09,,
YNWC1,02/21/2022 19:02 UTC,45,45,5,223,9,544,0,9,,,12,215,,SW,,24.74,,
YNWC1,02/21/2022 21:02 UTC,47,46,5.99,224,10,530,0,10,,,12.8,209,,SW,,27.1,,
YNWC1,02/21/2022 22:02 UTC,45,45,5,233,11,408,0,11,,,12.1,215,,SW,,24.74,,
YNWC1,02/21/2022 23:02 UTC,42,49,4,237,10,178,0,10,,,11.9,230,,WSW,,24.03,,
YNWC1,02/23/2022 21:02 UTC,43,43,4,244,7,386,0,7,,,12.9,225,,WSW,,21.82,,
YNWC1,02/25/2022 21:02 UTC,50,30,5,219,8,738,0,8,,,12.7,235,,SW,,19.57,,
YNWC1,02/26/2022 21:02 UTC,56,22,3,257,7,503,0,7,,,12.4,229,,WSW,,17.51,,
YNWC1,02/28/2022 21:02 UTC,69,16,2,291,7,765,0,7,,,12.6,163,,WNW,,20.91,,
YNWC1,03/01/2022 18:02 UTC,44,51,1,179,2,420,0,2,,,14,184,,S,,26.85,,
YNWC1,03/01/2022 19:02 UTC,58,25,2,152,4,647,0,4,,,12.1,168,,SSE,,22.2,,
YNWC1,03/01/2022 20:02 UTC,65,16,3,187,5,121,0,5,,,11.9,168,,S,,17.65,,
YNWC1,03/01/2022 21:02 UTC,72,12,3,244,10,510,0,10,,,12.5,232,,WSW,,16.68,,
YNWC1,03/01/2022 22:02 UTC,70,15,2,271,7,334,0,7,,,12.1,235,,W,,20.22,,
YNWC1,03/01/2022 23:02 UTC,69,18,3,220,5.99,320,0,5.99,,,12,214,,SW,,23.68,,
YNWC1,03/02/2022 00:02 UTC,65,28,2,200,5.99,95,0,5.99,,,12,217,,SSW,,30.97,,
YNWC1,03/02/2022 01:02 UTC,61,39,3,205,5,56,0,5,,,11.9,198,,SSW,,35.72,,
YNWC1,03/02/2022 02:02 UTC,53,55,0,,4,10,0,4,,,11.8,226,,,,37.12,,
YNWC1,03/06/2022 21:02 UTC,45,57,3,216,11,536,0,11,,,12.3,228,,SW,,30.53,,
YNWC1,03/07/2022 21:02 UTC,54,28,5,219,9,759,0,9,,,12.3,222,,SW,,21.43,,
YNWC1,03/07/2022 22:02 UTC,54,33,5.99,215,13,343,0,13,,,12.4,219,,SW,,25.35,,
YNWC1,03/08/2022 21:02 UTC,57,34,5.99,224,10,687,0,10,,,12.6,223,,SW,,28.73,,
YNWC1,03/08/2022 22:02 UTC,57,39,5,216,10,439,0,10,,,12.4,236,,SW,,32.12,,
YNWC1,03/08/2022 23:02 UTC,55,43,5,222,11,389,0,11,,,11.9,221,,SW,,32.74,,
YNWC1,03/10/2022 22:02 UTC,58,5,3,339,5.99,655,0,5.99,,,12.5,354,,NNW,,-12.28,,
YNWC1,03/11/2022 21:02 UTC,62,24,4,246,10,778,0,10,,,12.6,223,,WSW,,24.65,,
YNWC1,03/11/2022 22:02 UTC,62,27,5,222,10,506,0,10,,,12.4,220,,SW,,27.49,,
YNWC1,03/11/2022 23:02 UTC,59,32,5,203,10,379,0,10,,,11.9,214,,SSW,,29.01,,
YNWC1,03/12/2022 22:02 UTC,65,20,5,230,9,544,0,9,,,12.4,221,,SW,,22.85,,
YNWC1,03/13/2022 21:02 UTC,62,18,3,286,12,789,0,12,,,12.3,331,,WNW,,17.9,,
YNWC1,03/13/2022 22:02 UTC,61,24,4,231,10,509,0,10,,,12.4,225,,SW,,23.8,,
YNWC1,03/13/2022 23:02 UTC,58,24,3,236,13,403,0,13,,,11.9,206,,SW,,21.24,,
YNWC1,03/14/2022 00:02 UTC,,,4,22,,,0,,,,,,,NNE,,,,
YNWC1,03/16/2022 20:02 UTC,64,33,5,222,9,548,0,9,,,12.9,215,,SW,,34.18,,
YNWC1,03/16/2022 21:02 UTC,68,30,4,244,11,746,0,11,,,12.5,217,,WSW,,35.31,,
YNWC1,03/16/2022 22:02 UTC,65,36,5.99,220,10,589,0,10,,,12.4,237,,SW,,37.27,,
YNWC1,03/16/2022 23:02 UTC,63,40,4,225,10,308,0,10,,,11.9,224,,SW,,38.16,,
YNWC1,03/18/2022 18:02 UTC,55,34,3,160,5,540,0,5,,,13.2,164,,SSE,,26.96,,
YNWC1,03/18/2022 19:02 UTC,62,24,4,162,5.99,673,0,5.99,,,13,176,,SSE,,24.65,,
YNWC1,03/18/2022 20:02 UTC,65,22,5,227,9,659,0,9,,,12.8,244,,SW,,25.12,,
YNWC1,03/18/2022 21:02 UTC,68,23,4,233,10,772,0,10,,,12.7,218,,SW,,28.73,,
YNWC1,03/18/2022 23:02 UTC,65,28,5,230,10,304,0,10,,,12.2,203,,SW,,30.97,,
YNWC1,03/19/2022 00:02 UTC,63,33,4,225,11,46,0,11,,,12.1,228,,SW,,33.3,,
YNWC1,03/19/2022 01:02 UTC,61,39,3,212,7,64,0,7,,,12.1,211,,SSW,,35.72,,
YNWC1,03/19/2022 02:02 UTC,55,53,2,195,5,12,0,5,,,12.1,226,,SSW,,38.04,,
YNWC1,03/19/2022 03:02 UTC,51,60,2,216,3,0,0,3,,,12,220,,SW,,37.47,,
YNWC1,03/19/2022 04:02 UTC,48,69,0,,3,0,0,3,,,12,11,,,,38.21,,
YNWC1,03/19/2022 05:02 UTC,45,72,1,217,2,0,0,2,,,12,231,,SW,,36.42,,
YNWC1,03/19/2022 06:02 UTC,44,76,0,,3,0,0,3,,,12,244,,,,36.84,,
YNWC1,03/19/2022 07:02 UTC,42,81,1,258,3,0,0,3,,,11.9,240,,WSW,,36.53,,
YNWC1,03/19/2022 08:02 UTC,39,85,0,,4,0,0,4,,,11.9,186,,,,34.82,,
YNWC1,03/19/2022 10:02 UTC,,,,,,,0,,,,,,,,,,,
YNWC1,03/20/2022 22:02 UTC,58,54,4,242,11,751,0,11,,,12.4,222,,WSW,,41.32,,
YNWC1,03/21/2022 20:02 UTC,,,,,,,0,,,,11.2,,,,,,,
YNWC1,03/21/2022 21:02 UTC,65,36,4,233,10,837,0,10,,,12.6,232,,SW,,37.27,,
YNWC1,03/21/2022 22:02 UTC,64,38,5.99,228,9,781,0,9,,,12.6,233,,SW,,37.75,,
YNWC1,03/21/2022 23:02 UTC,63,42,4,213,10,315,0,10,,,12.1,230,,SSW,,39.42,,
YNWC1,03/22/2022 00:02 UTC,62,45,5,225,9,40,0,9,,,12,208,,SW,,40.28,,
YNWC1,03/22/2022 01:02 UTC,60,51,4,226,9,61,0,9,,,12,221,,SW,,41.69,,
YNWC1,03/22/2022 02:02 UTC,55,62,3,240,5.99,9,0,5.99,,,12,217,,WSW,,42.11,,
YNWC1,03/22/2022 03:02 UTC,50,76,1,323,5,1,0,5,,,11.9,221,,NW,,42.66,,
YNWC1,04/28/2022 01:02 UTC,61,31,5,224,11,35,0,11,,,12.7,208,,SW,,29.99,,
YNWC1,04/28/2022 02:02 UTC,58,33,3,219,9,15,0,9,,,12.6,241,,SW,,28.88,,
YNWC1,04/28/2022 03:02 UTC,54,40,3,227,5.99,4,0,5.99,,,12.6,217,,SW,,30.04,,
YNWC1,04/28/2022 04:02 UTC,49,51,2,220,4,0,0,4,,,12.6,233,,SW,,31.49,,
YNWC1,04/28/2022 05:02 UTC,46,56,0,,4,0,0,4,,,12.5,224,,,,31.02,,
YNWC1,04/28/2022 06:02 UTC,43,61,1,291,3,0,0,3,,,12.5,219,,WNW,,30.33,,
YNWC1,04/28/2022 07:02 UTC,41,67,1,227,3,0,0,3,,,12.5,219,,SW,,30.76,,
YNWC1,04/28/2022 08:02 UTC,41,70,1,277,2,0,0,2,,,12.5,219,,W,,31.86,,
YNWC1,04/28/2022 09:02 UTC,40,72,0,,2,0,0,2,,,12.5,222,,,,31.6,,
YNWC1,04/28/2022 10:02 UTC,40,76,1,245,3,0,0,3,,,12.5,167,,WSW,,32.96,,
YNWC1,04/28/2022 11:02 UTC,39,79,0,,2,0,0,2,,,12.5,230,,,,32.96,,
YNWC1,04/28/2022 12:02 UTC,37,83,1,336,3,0,0,3,,,12.5,330,,NNW,,32.26,,
YNWC1,04/28/2022 13:02 UTC,35,87,0,,3,0,0,3,,,12.5,240,,,,31.47,,
YNWC1,04/28/2022 14:02 UTC,34,89,0,,2,6,0,2,,,12.5,231,,,,31.06,,
YNWC1,04/28/2022 15:02 UTC,35,89,0,,3,15,0,3,,,12.4,180,,,,32.05,,
YNWC1,04/28/2022 18:02 UTC,61,25,5,231,11,504,0,11,,,13.5,239,,SW,,24.77,,
YNWC1,04/28/2022 19:02 UTC,63,26,5,235,11,913,0,11,,,13.7,227,,SW,,27.43,,
YNWC1,04/28/2022 20:02 UTC,64,24,5,222,12,974,0,12,,,14.1,217,,SW,,26.36,,
YNWC1,04/28/2022 21:02 UTC,64,24,5,219,10,974,0,10,,,14,209,,SW,,26.36,,
YNWC1,04/28/2022 22:02 UTC,62,24,5,230,11,869,0,11,,,13.1,242,,SW,,24.65,,
YNWC1,04/28/2022 23:02 UTC,60,30,5,226,10,226,0,10,,,13,218,,SW,,28.31,,
YNWC1,04/29/2022 02:02 UTC,53,35,4,214,8,14,0,8,,,12.9,209,,SW,,25.88,,
YNWC1,04/29/2022 03:02 UTC,50,46,2,201,5.99,4,0,5.99,,,12.9,223,,SSW,,29.85,,
YNWC1,04/29/2022 04:02 UTC,47,54,2,221,4,0,0,4,,,12.9,183,,SW,,31.05,,
YNWC1,04/29/2022 05:02 UTC,44,63,0,,2,0,0,2,,,12.9,219,,,,32.08,,
YNWC1,04/29/2022 06:02 UTC,41,68,0,,2,0,0,2,,,12.9,217,,,,31.13,,
YNWC1,04/29/2022 07:02 UTC,39,74,0,,0,0,0,0,,,12.8,306,,,,31.32,,
YNWC1,04/29/2022 08:02 UTC,38,76,0,,2,0,0,2,,,12.8,238,,,,31.02,,
YNWC1,04/29/2022 09:02 UTC,36,78,0,,2,0,0,2,,,12.8,182,,,,29.72,,
YNWC1,04/29/2022 10:02 UTC,35,81,0,,2,0,0,2,,,12.8,246,,,,29.69,,
YNWC1,04/29/2022 11:02 UTC,34,81,0,,2,0,0,2,,,12.8,335,,,,28.71,,
YNWC1,04/29/2022 12:02 UTC,33,81,0,,2,0,0,2,,,12.8,343,,,,27.74,,
YNWC1,04/29/2022 13:02 UTC,32,83,0,,2,0,0,2,,,12.8,220,,,,27.36,,
YNWC1,04/29/2022 14:02 UTC,31,82,1,253,2,7,0,2,,,12.7,216,,WSW,,26.08,,
YNWC1,04/29/2022 15:02 UTC,33,81,0,,2,16,0,2,,,12.8,220,,,,27.74,,
YNWC1,04/29/2022 16:02 UTC,38,61,2,169,3,38,0,3,,,12.9,167,,S,,25.6,,
YNWC1,04/29/2022 17:02 UTC,53,26,2,85,4,92,0,4,,,13.2,157,,E,,18.83,,
YNWC1,04/29/2022 18:02 UTC,64,18,4,297,9,486,0,9,,,14.2,336,,WNW,,19.55,,
YNWC1,04/29/2022 19:02 UTC,67,19,4,243,8,932,0,8,,,13.5,236,,WSW,,23.3,,
YNWC1,04/29/2022 20:02 UTC,67,22,5.99,212,11,972,0,11,,,13.4,230,,SSW,,26.81,,
YNWC1,04/29/2022 21:02 UTC,68,27,5,225,12,812,0,12,,,13.6,225,,SW,,32.67,,
YNWC1,04/29/2022 22:02 UTC,68,27,4,256,11,695,0,11,,,13.3,237,,WSW,,32.67,,
YNWC1,04/29/2022 23:02 UTC,68,29,5,214,9,235,0,9,,,13.1,234,,SW,,34.45,,
YNWC1,04/30/2022 00:02 UTC,65,34,5,227,11,95,0,11,,,13.1,215,,SW,,35.82,,
YNWC1,04/30/2022 01:02 UTC,64,37,3,227,9,46,0,9,,,13,208,,SW,,37.07,,
YNWC1,04/30/2022 02:02 UTC,61,41,2,236,8,38,0,8,,,13,234,,SW,,36.99,,
YNWC1,04/30/2022 03:02 UTC,55,54,0,,4,5,0,4,,,12.9,179,,,,38.52,,
YNWC1,04/30/2022 04:02 UTC,51,63,0,,2,0,0,2,,,12.9,23,,,,38.73,,
YNWC1,04/30/2022 05:02 UTC,48,69,0,,1,0,0,1,,,12.9,257,,,,38.21,,
YNWC1,04/30/2022 06:02 UTC,46,74,0,,2,0,0,2,,,12.9,229,,,,38.09,,
YNWC1,04/30/2022 07:02 UTC,44,79,0,,2,0,0,2,,,12.8,205,,,,37.83,,
YNWC1,04/30/2022 08:02 UTC,43,82,0,,1,0,0,1,,,12.8,239,,,,37.82,,
YNWC1,04/30/2022 09:02 UTC,41,85,0,,2,0,0,2,,,12.8,225,,,,36.78,,
YNWC1,04/30/2022 10:02 UTC,40,88,0,,3,0,0,3,,,12.8,331,,,,36.69,,
YNWC1,04/30/2022 11:02 UTC,39,91,0,,2,0,0,2,,,12.8,234,,,,36.56,,
YNWC1,04/30/2022 12:02 UTC,38,92,1,221,3,0,0,3,,,12.8,177,,SW,,35.85,,
YNWC1,04/30/2022 13:02 UTC,37,94,0,,2,0,0,2,,,12.8,222,,,,35.41,,
YNWC1,04/30/2022 14:02 UTC,37,95,0,,3,6,0,3,,,12.8,177,,,,35.68,,
YNWC1,04/30/2022 15:02 UTC,38,92,1,223,3,14,0,3,,,12.8,214,,SW,,35.85,,
YNWC1,04/30/2022 16:02 UTC,44,74,2,170,3,36,0,3,,,12.9,218,,S,,36.15,,
YNWC1,04/30/2022 17:02 UTC,59,37,4,144,5,75,0,5,,,13.3,154,,SE,,32.6,,
YNWC1,04/30/2022 18:02 UTC,67,33,4,216,9,423,0,9,,,13.5,225,,SW,,36.83,,
YNWC1,04/30/2022 19:02 UTC,68,34,7,214,11,911,0,11,,,13.5,223,,SW,,38.48,,
YNWC1,04/30/2022 20:02 UTC,70,34,5.99,215,11,979,0,11,,,13.4,229,,SW,,40.25,,
YNWC1,04/30/2022 21:02 UTC,72,30,5,231,12,967,0,12,,,13.4,214,,SW,,38.8,,
YNWC1,04/30/2022 22:02 UTC,71,32,5,214,13,858,0,13,,,13.4,231,,SW,,39.58,,
YNWC1,04/30/2022 23:02 UTC,69,31,5,226,13,216,0,13,,,13.1,219,,SW,,37.01,,
YNWC1,05/01/2022 00:02 UTC,66,31,5,237,10,47,0,10,,,13.1,228,,WSW,,34.38,,
YNWC1,05/01/2022 01:02 UTC,64,35,4,234,10,29,0,10,,,13,87,,SW,,35.66,,
YNWC1,05/01/2022 02:02 UTC,61,44,3,206,7,14,0,7,,,13,220,,SSW,,38.79,,
YNWC1,05/01/2022 03:02 UTC,59,53,4,209,10,6,0,10,,,12.9,218,,SSW,,41.77,,
YNWC1,05/01/2022 04:02 UTC,56,60,3,216,5.99,0,0,5.99,,,12.9,222,,SW,,42.19,,
YNWC1,05/01/2022 05:02 UTC,52,69,1,345,3,0,0,3,,,12.9,247,,NNW,,42.05,,
YNWC1,05/01/2022 06:02 UTC,49,75,1,243,2,0,0,2,,,12.9,234,,WSW,,41.34,,
YNWC1,05/01/2022 07:02 UTC,46,81,0,,1,0,0,1,,,12.9,245,,,,40.43,,
YNWC1,05/01/2022 09:02 UTC,43,89,0,,2,0,0,2,,,12.8,172,,,,39.94,,
YNWC1,05/01/2022 10:02 UTC,41,91,0,,2,0,0,2,,,12.8,230,,,,38.54,,
YNWC1,05/01/2022 11:02 UTC,40,93,0,,1,0,0,1,,,12.8,325,,,,38.11,,
YNWC1,05/01/2022 12:02 UTC,39,93,0,,2,0,0,2,,,12.8,229,,,,37.12,,
YNWC1,05/01/2022 13:02 UTC,38,94,0,,1,0,0,1,,,12.8,338,,,,36.41,,
YNWC1,05/01/2022 14:02 UTC,37,94,0,,2,5,0,2,,,12.8,329,,,,35.41,,
YNWC1,05/01/2022 15:02 UTC,38,92,1,184,2,12,0,2,,,12.8,185,,S,,35.85,,
YNWC1,05/01/2022 16:02 UTC,43,71,2,171,3,36,0,3,,,12.9,178,,S,,34.14,,
YNWC1,05/01/2022 17:02 UTC,57,38,2,151,4,66,0,4,,,13.3,176,,SSE,,31.47,,
YNWC1,05/01/2022 18:02 UTC,67,26,4,230,8,373,0,8,,,13.5,222,,SW,,30.88,,
YNWC1,05/01/2022 19:02 UTC,69,26,4,245,10,935,0,10,,,13.4,220,,WSW,,32.6,,
YNWC1,05/01/2022 20:02 UTC,70,26,4,240,11,994,0,11,,,13.4,211,,WSW,,33.46,,
YNWC1,05/01/2022 21:02 UTC,70,31,5,241,13,979,0,13,,,13.4,219,,WSW,,37.89,,
YNWC1,05/01/2022 22:02 UTC,69,35,5.99,227,11,834,0,11,,,13.4,241,,SW,,40.11,,
YNWC1,05/01/2022 23:02 UTC,67,39,5,231,11,209,0,11,,,13.2,216,,SW,,41.12,,
YNWC1,05/02/2022 00:02 UTC,65,44,5,227,10,71,0,10,,,13.1,226,,SW,,42.44,,
YNWC1,05/02/2022 01:02 UTC,64,45,4,207,13,36,0,13,,,13,230,,SSW,,42.11,,
YNWC1,05/02/2022 02:02 UTC,61,43,4,219,8,17,0,8,,,13,214,,SW,,38.2,,
YNWC1,05/02/2022 03:02 UTC,58,50,3,235,5,5,0,5,,,13,228,,SW,,39.33,,
YNWC1,05/02/2022 05:02 UTC,51,68,0,,2,0,0,2,,,12.9,219,,,,40.71,,
YNWC1,05/02/2022 06:02 UTC,49,75,0,,1,0,0,1,,,12.9,178,,,,41.34,,
YNWC1,05/02/2022 07:02 UTC,47,80,1,267,2,0,0,2,,,12.9,5,,W,,41.08,,
YNWC1,05/02/2022 08:02 UTC,46,81,0,,3,0,0,3,,,12.8,253,,,,40.43,,
YNWC1,05/02/2022 09:02 UTC,45,82,1,221,3,0,0,3,,,12.8,185,,SW,,39.77,,
YNWC1,05/02/2022 10:02 UTC,43,86,0,,3,0,0,3,,,12.8,180,,,,39.05,,
YNWC1,05/02/2022 11:02 UTC,42,88,0,,2,0,0,2,,,12.8,166,,,,38.66,,
YNWC1,05/02/2022 12:02 UTC,41,90,0,,2,0,0,2,,,12.8,223,,,,38.26,,
YNWC1,05/02/2022 13:02 UTC,40,92,1,77,2,0,0,2,,,12.8,340,,ENE,,37.84,,
YNWC1,05/02/2022 14:02 UTC,43,86,0,,2,9,0,2,,,12.8,336,,,,39.05,,
YNWC1,05/02/2022 15:02 UTC,45,83,0,,3,28,0,3,,,12.8,164,,,,40.09,,
YNWC1,05/02/2022 16:02 UTC,47,78,1,206,4,35,0,4,,,13,162,,SSW,,40.42,,
YNWC1,05/02/2022 17:02 UTC,61,45,3,196,5,76,0,5,,,13.4,191,,SSW,,39.37,,
YNWC1,05/02/2022 18:02 UTC,67,39,4,226,11,347,0,11,,,13.5,225,,SW,,41.12,,
YNWC1,05/02/2022 19:02 UTC,68,32,5.99,216,9,914,0,9,,,13.6,223,,SW,,36.94,,
YNWC1,05/02/2022 20:02 UTC,71,32,5,219,12,984,0,12,,,13.3,229,,SW,,39.58,,
YNWC1,05/02/2022 21:02 UTC,71,28,4,279,12,986,0,12,,,13.3,227,,W,,36.18,,
YNWC1,05/02/2022 22:02 UTC,69,28,4,250,11,833,0,11,,,13.4,233,,WSW,,34.44,,
YNWC1,05/02/2022 23:02 UTC,67,32,5,234,10,181,0,10,,,13.2,241,,SW,,36.06,,
YNWC1,05/03/2022 00:02 UTC,65,36,4,240,11,53,0,11,,,13.1,224,,WSW,,37.27,,
YNWC1,05/03/2022 01:02 UTC,63,39,4,217,9,38,0,9,,,13,229,,SW,,37.52,,
YNWC1,05/03/2022 02:02 UTC,60,43,4,213,7,14,0,7,,,13,218,,SSW,,37.29,,
YNWC1,05/03/2022 03:02 UTC,57,49,2,211,5.99,5,0,5.99,,,12.9,231,,SSW,,37.88,,
YNWC1,05/03/2022 04:02 UTC,53,60,0,,5,0,0,5,,,12.9,221,,,,39.36,,
YNWC1,05/03/2022 05:02 UTC,49,68,1,276,2,0,0,2,,,12.9,174,,W,,38.79,,
YNWC1,05/03/2022 06:02 UTC,46,75,1,244,2,0,0,2,,,12.9,222,,WSW,,38.43,,
YNWC1,05/03/2022 07:02 UTC,44,80,0,,2,0,0,2,,,12.8,186,,,,38.16,,
YNWC1,05/03/2022 08:02 UTC,43,84,1,263,3,0,0,3,,,12.8,206,,W,,38.44,,
YNWC1,05/03/2022 09:02 UTC,41,87,1,236,2,0,0,2,,,12.8,335,,SW,,37.38,,
YNWC1,05/03/2022 10:02 UTC,40,88,1,254,4,0,0,4,,,12.8,168,,WSW,,36.69,,
YNWC1,05/03/2022 11:02 UTC,38,88,2,291,4,0,0,4,,,12.8,171,,WNW,,34.72,,
YNWC1,05/03/2022 12:02 UTC,37,88,0,,3,0,0,3,,,12.8,12,,,,33.73,,
YNWC1,05/03/2022 13:02 UTC,36,87,0,,2,0,0,2,,,12.7,344,,,,32.46,,
YNWC1,05/03/2022 14:02 UTC,36,86,0,,2,6,0,2,,,12.8,220,,,,32.17,,
YNWC1,05/03/2022 15:02 UTC,37,86,1,235,2,13,0,2,,,12.8,241,,SW,,33.15,,
YNWC1,05/03/2022 16:02 UTC,42,60,2,169,3,40,0,3,,,12.9,177,,S,,28.97,,
YNWC1,05/03/2022 17:02 UTC,56,29,3,150,5.99,71,0,5.99,,,13.3,165,,SSE,,24,,
YNWC1,05/03/2022 18:02 UTC,66,22,2,213,7,337,0,7,,,13.6,218,,SSW,,25.96,,
YNWC1,05/03/2022 19:02 UTC,70,24,5.99,202,11,939,0,11,,,13.4,224,,SSW,,31.47,,
YNWC1,05/03/2022 20:02 UTC,72,25,5,231,11,997,0,11,,,14.1,217,,SW,,34.2,,
YNWC1,05/03/2022 21:02 UTC,71,32,5,219,12,980,0,12,,,13.4,243,,SW,,39.58,,
YNWC1,05/03/2022 22:02 UTC,69,37,5,234,11,838,0,11,,,13.4,216,,SW,,41.55,,
YNWC1,05/03/2022 23:02 UTC,68,37,5,222,13,146,0,13,,,13.2,218,,SW,,40.65,,
YNWC1,05/04/2022 00:02 UTC,66,36,5.99,220,11,44,0,11,,,13.1,220,,SW,,38.16,,
YNWC1,05/04/2022 01:02 UTC,65,35,4,229,10,28,0,10,,,13,207,,SW,,36.55,,
YNWC1,05/04/2022 02:02 UTC,62,37,2,213,8,12,0,8,,,13,240,,SSW,,35.28,,
YNWC1,05/04/2022 03:02 UTC,56,53,1,8,3,5,0,3,,,12.9,40,,N,,38.97,,
YNWC1,05/04/2022 04:02 UTC,52,63,0,,3,0,0,3,,,12.9,23,,,,39.68,,
YNWC1,05/04/2022 05:02 UTC,49,70,0,,2,0,0,2,,,12.9,355,,,,39.54,,
YNWC1,05/04/2022 06:02 UTC,47,76,1,59,3,0,0,3,,,12.9,338,,ENE,,39.75,,
YNWC1,05/04/2022 07:02 UTC,45,74,0,,3,0,0,3,,,12.8,228,,,,37.12,,
YNWC1,05/04/2022 08:02 UTC,44,73,1,222,3,0,0,3,,,12.8,329,,SW,,35.81,,
YNWC1,05/04/2022 09:02 UTC,43,72,1,283,3,0,0,3,,,12.8,175,,WNW,,34.49,,
YNWC1,05/04/2022 10:02 UTC,42,69,1,220,3,0,0,3,,,12.8,233,,SW,,32.45,,
YNWC1,05/04/2022 11:02 UTC,41,68,0,,3,0,0,3,,,12.8,218,,,,31.13,,
YNWC1,05/04/2022 12:02 UTC,39,70,0,,2,0,0,2,,,12.7,187,,,,29.93,,
YNWC1,05/04/2022 13:02 UTC,39,70,1,289,3,0,0,3,,,12.7,228,,WNW,,29.93,,
YNWC1,05/04/2022 14:02 UTC,38,74,0,,2,6,0,2,,,12.7,219,,,,30.35,,
YNWC1,05/04/2022 15:02 UTC,39,75,1,202,2,14,0,2,,,12.8,243,,SSW,,31.66,,
YNWC1,05/04/2022 16:02 UTC,46,54,2,173,3,41,0,3,,,12.9,184,,S,,30.12,,
YNWC1,05/04/2022 17:02 UTC,61,29,3,150,4,80,0,4,,,13.2,155,,SSE,,28.36,,
YNWC1,05/04/2022 18:02 UTC,74,19,3,159,7,325,0,7,,,13.6,237,,SSE,,29.12,,
YNWC1,05/04/2022 19:02 UTC,75,19,5,217,9,944,0,9,,,13.4,218,,SW,,29.95,,
YNWC1,05/04/2022 20:02 UTC,77,21,5.99,218,11,1002,0,11,,,13.3,215,,SW,,34.09,,
YNWC1,05/04/2022 21:02 UTC,79,22,5,231,12,990,0,12,,,13.2,222,,SW,,36.94,,
YNWC1,05/04/2022 22:02 UTC,78,22,5.99,221,12,818,0,12,,,13.4,226,,SW,,36.1,,
YNWC1,05/04/2022 23:02 UTC,76,23,5,224,11,140,0,11,,,13.2,229,,SW,,35.52,,
