OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,Shape__Area,Shape__Length
11903,10638,County Line,Wildfire Daily Fire Perimeter,Mixed Methods,225.0436,,3/14/2023 3:13:42 PM,7/16/2021 1:00:00 AM,{5F0F930F-C7DA-4EB5-B20A-E56224D34C80},{77E6F53A-5400-4143-9F32-843882F821A3},224.925691538755,,FFP,3102057,,CERTIFIED,224.93,,,wildcad,224,,CAYPCC,,,,,11/16/2021 12:38:40 AM,,,,,,,,N4BA,,7/1/2021 2:16:00 AM,Type 4 Incident,11/16/2021 12:30:00 AM,,,,,,,OSCC,,,,,,County Line,,WF,FI,37.84572,-119.6318,,7/1/2021 2:30:00 AM,,,,1,,,0,,000047,INFORM_Inspector,,,Yosemite National Park,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL4,,,,2021-CAYNP-000047,{77E6F53A-5400-4143-9F32-843882F821A3},,,,,7/1/2021 2:50:28 AM,11/16/2021 12:38:41 AM,FODR,,,,{C4557B1D-AD40-4FB3-8151-23F2DC4F309A},89280331-ebb6-4b0d-9a68-8e53a74d953e,9.3178929091664E-05,0.0543578478221355
13299,11331,Porcupine,Wildfire Daily Fire Perimeter,Mixed Methods,4.862166,,3/14/2023 3:13:42 PM,7/20/2021 1:00:00 AM,{94706023-97DA-4CD9-B660-A57BFE5D546B},{4FF3B321-AE7A-4D12-A2D0-84442D54A48D},11.1975197128937,,FFP,3102580,,CERTIFIED,11.2,8/4/2021 4:00:00 PM,8/4/2021 5:00:00 PM,wildcad,11.2,,CAYPCC,,,,,9/21/2021 10:04:39 PM,,,,,,,,N4H2,,7/2/2021 7:11:00 PM,,8/4/2021 11:20:00 PM,,,,,,,OSCC,,,,,,Porcupine,,WF,FI,37.82167,-119.5642,,7/2/2021 8:05:00 PM,,,,1,,,0,,000057,INFORM_Inspector,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL8,,,,2021-CAYNP-000057,{4FF3B321-AE7A-4D12-A2D0-84442D54A48D},,,,,7/2/2021 7:16:28 PM,9/21/2021 10:04:39 PM,FODR,,,,{388C1DD2-46E4-46D4-90CC-E32420031345},4501068e-f161-44cd-89f1-5f8c6cdc448e,4.63697324448731E-06,0.0152513039501678
13420,7113,Snow,Wildfire Final Fire Perimeter,Mixed Methods,24.0517,,3/14/2023 3:13:42 PM,10/6/2022 9:35:49 PM,{A31CCD79-E21B-4902-94B8-9B7E40F3535E},{43F2EF2A-F12A-44E6-ACCC-A384B90FAB09},24.0516056011492,,FFP,3153000,,CERTIFIED,24.05,,,wildcad,24,,CAYPCC,,,,,10/6/2022 9:35:46 PM,,,,,,,,PQR5,,6/17/2022 12:40:00 AM,,7/2/2022 11:00:00 PM,,,,,,,OSCC,,,,,,Snow,,WF,FI,37.77032,-119.5394,,6/17/2022 12:45:00 AM,,,,1,,,0,,000026,wildcad,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL5,,,,2022-CAYNP-000026,{43F2EF2A-F12A-44E6-ACCC-A384B90FAB09},,,,,6/17/2022 1:28:14 AM,7/1/2022 12:15:51 AM,FODR,,,,{5242E745-84A6-48F0-B1A1-2D8D4753B9F3},43fb1b69-08f9-45e6-8a22-f60f20ee6c67,9.95341179077514E-06,0.0330099568501101
14033,11333,Hoover,Wildfire Daily Fire Perimeter,GPS-Flight,,,3/14/2023 3:13:42 PM,7/23/2021 11:00:00 PM,{5FA220B7-1EB0-43F3-AA15-F36AF3DAA796},{20FAC6F8-E7E3-414B-A6E7-D01E2F694C58},58.5924654544155,,FFP,3107809,,CERTIFIED,58.59,7/25/2021 3:49:00 AM,,wildcad,59.1,,CAYPCC,,,,,9/21/2021 9:28:46 PM,,,,,,,,N6B4,,7/19/2021 11:25:00 PM,,8/1/2021 5:00:00 PM,,,,,,,OSCC,,,,,,Hoover,,WF,FI,37.65454,-119.4887,,7/20/2021 3:15:00 PM,,,,1,,,0,,000075,INFORM_Inspector,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TU5,,,,2021-CAYNP-000075,{20FAC6F8-E7E3-414B-A6E7-D01E2F694C58},,,,,7/19/2021 11:27:07 PM,9/21/2021 9:28:46 PM,FODR,,,,{85298684-DAE1-48DF-8410-43B6E8A2188C},5deb39ac-a9a6-46cd-aa7e-bc799a14e7cf,2.4206707621488E-05,0.0414019224711848
14085,,AGUA,Wildfire Daily Fire Perimeter,Image Interpretation,421,8/1/2022 10:35:38 PM,8/1/2022 10:36:22 PM,,{CDBAB21B-3583-4590-8F24-721FB1974136},,419.752784586693,{3DE71E21-4322-4FF6-B0B1-760F6BCFE8D7},2022 NIFS,23847441,,DEFAULT,,7/24/2022 8:01:01 PM,7/24/2022 8:01:27 PM,cfcad,421,0.01,CAMMCC,600000,421,,,,Minimal,,Spotting,,Undetermined,,,PV28,,7/18/2022 8:13:50 PM,Type 3 Incident,,0,100,0,0,PN,1522,OSCC,7/23/2022 12:00:00 PM,7/23/2022 3:00:00 AM,7/23/2022 12:00:00 PM,F,Type 3 Team,AGUA,south west of the town of Mariposa,WF,FI,37.480249,-120.026989,,,{CDBAB21B-3583-4590-8F24-721FB1974136},,0,1,0,1,0,0,015784,cfcad,100,100,Mariposa,Mariposa,CAMMCC,06043,,,,Private,Private,,,,,,,SC04,CAL FIRE,CAMMU,US-CA,,,Tall Grass (2.5 feet),Brush (2 feet),0,2022-CAMMU-015784,,No Decision,,,,7/18/2022 8:19:30 PM,7/25/2022 9:49:03 PM,IRWIN,0,,,{236842A0-0A16-4818-834E-E6B3B00BBA7F},001db86a-6ffd-4b9a-8576-4fc3815761a0,0.000173055434970593,0.113185198881645
14228,,RIVER,Wildfire Daily Fire Perimeter,Mixed Methods,9655.18871544125,7/13/2021 10:23:36 PM,7/17/2021 11:48:53 PM,,{D3A00541-DBCB-4519-8B77-B9B4DFEDDD0B},,9655.1521944486,{2B392513-AAFC-4AF5-98E2-74ADAC63581B},2021 NIFS,20396791,,DEFAULT,,,,cfcad,0.01,0.01,CAMMCC,15380000,,,,,Minimal,Smoldering,Smoldering,Smoldering,Undetermined,,,N5L2,,7/11/2021 9:11:30 PM,Type 1 Incident,,0,100,0,0,PN,1522,OSCC,7/20/2021 1:00:00 AM,7/19/2021 1:00:00 PM,7/20/2021 1:00:00 AM,F,Type 1 Team,RIVER,8 Miles North of Raymond.,WF,FI,37.349009,-119.87075,,,{D3A00541-DBCB-4519-8B77-B9B4DFEDDD0B},,0,1,0,1,0,0,014714,cfcad,100,100,Mariposa,Mariposa,CAMMCC,06043,,,,Private,Private,,,,,,,SC04,CDF,CAMMU,US-CA,,,Tall Grass (2.5 feet),Brush (2 feet),25,2021-CAMMU-014714,,No Decision,,,,7/11/2021 9:11:30 PM,4/20/2022 10:04:59 PM,IRWIN,0,,,{D3A00541-DBCB-4519-8B77-B9B4DFEDDD0B},6c0c6550-6089-46c1-9905-68c753aa38ac,0.00397253419805565,0.57414204564582
14240,,Oak,Wildfire Daily Fire Perimeter,Mixed Methods,19244.6319730246,7/23/2022 1:04:08 AM,8/1/2022 10:09:20 PM,,{09A76C17-511F-40B6-A006-8531DF0C33AC},,19244.5555342007,{1F3C6D42-1436-4525-857D-0AACCD25F12B},2022 NIFS,23848523,,DEFAULT,19244.4306,8/11/2022 5:13:24 PM,10/6/2022 7:00:00 AM,cfcad,19244,0.01,CAMMCC,93000000,,,,,Minimal,,Creeping,Smoldering,Undetermined,,,PWW8,,7/22/2022 9:10:08 PM,Type 5 Incident,12/5/2022 8:00:00 AM,0,100,0,0,PN,1522,OSCC,10/14/2022 8:43:56 PM,10/6/2022 3:00:00 PM,10/14/2022 8:15:00 PM,F,Type 5 IC,OAK,Community of Midpines. Approximately 6 miles N/E of Mariposa CA,WF,FI,37.548708,-119.920769,,,{09A76C17-511F-40B6-A006-8531DF0C33AC},,0,1,0,1,0,0,016149,wfdss,100,100,Mariposa,Mariposa,CAMMCC,06043,,,,Private,Private,Mt. Diablo,,,19,31,04,SC04,CAL FIRE,CAMMU,US-CA,,,Tall Grass (2.5 feet),Chaparral (6 feet),5,2022-CAMMU-016149,,Approved Decision,95000000,Type 3 Incident,8/9/2022 4:10:29 AM,7/22/2022 9:10:17 PM,12/5/2022 8:17:47 PM,IRWIN,0,,,{CEF695A1-FBF7-44E0-BE4D-D3BFE70F0E6D},0fdcb4c6-5e7e-48fd-bd05-ed120e722237,0.00793999139114021,0.95090143739832
14621,6421,Red,Wildfire Final Fire Perimeter,IR Image Interpretation,8432.093,,3/14/2023 3:13:42 PM,11/17/2022 7:22:31 PM,{1E643C3B-3BE4-4669-892B-CF82B46FA820},{D4267C11-865F-42AC-A81D-E06CE9AC027E},8432.38728332765,{1BC2E463-8639-480D-8AB9-9E7609C8573E},FFP,3165560,,CERTIFIED,8432.42,,,wildcad,8415,,CAYPCC,,,,,11/17/2022 7:22:27 PM,,,,,,,,PYW6,,8/4/2022 3:52:00 PM,Type 5 Incident,11/6/2022 1:00:00 AM,,,,,,,OSCC,,,,,,Red,,WF,FI,37.66138,-119.4713,,8/4/2022 6:00:00 PM,,,,1,,,0,,000056,wildcad,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TU5,,,,2022-CAYNP-000056,{D4267C11-865F-42AC-A81D-E06CE9AC027E},,,,,8/4/2022 4:11:04 PM,11/7/2022 5:19:23 PM,FODR,,,,{229DEBB0-3F0F-4BC2-B3E5-63336231B48D},4a3c3590-17fd-4403-a9c0-9a77bbe0e9e5,0.00348473933536297,1.01274723540432
15038,,Horizon,Wildfire Daily Fire Perimeter,Hand Sketch,0.1,9/8/2021 9:09:43 PM,9/8/2021 9:09:43 PM,8/3/2021 4:53:53 AM,{32BA6970-CAAC-4A8C-B611-9357C34FCABF},,0.0655507630401851,{F8937912-FA09-4C2F-BFFB-585FF7EB7871},Decertified,20800412,,CERTIFIED,,8/5/2021 12:27:00 AM,8/5/2021 12:27:00 AM,wildcad,0.1,0.1,CAYPCC,,,,,9/8/2021 9:09:40 PM,,,,,Natural,Lightning,,N7MH,,8/2/2021 11:53:00 PM,,8/6/2021 7:24:00 PM,,,,,,,OSCC,,,,,,Horizon,,WF,FI,37.63717,-119.567,,8/3/2021 1:00:00 PM,{32BA6970-CAAC-4A8C-B611-9357C34FCABF},,0,1,0,0,0,,000100,INFORM_Inspector,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,SC02,NPS,CAYNP,US-CA,Timber,TL3,,,,2021-CAYNP-000100,,No Decision,,,,8/2/2021 11:54:10 PM,9/8/2021 9:09:41 PM,IRWIN,0,,,{32BA6970-CAAC-4A8C-B611-9357C34FCABF},094c8f65-c6a3-499a-9d39-b23b7b255a56,2.70792952505872E-08,0.000763816811165747
15096,,Washburn,Wildfire Final Fire Perimeter,IR Image Interpretation,4886.12440796,11/17/2022 7:18:41 PM,11/17/2022 7:18:41 PM,11/17/2022 7:18:40 PM,{F8770EE9-DD20-421D-B4BB-637EA51F028A},,4886.10499304527,{865EEB41-2AF2-45C4-9039-98924F3C116A},Decertified,23844567,,FIREREPORTING,4886.0465,9/30/2022 1:00:00 AM,,wildcad,4857,0.1,CAYPCC,36257806,,,,,Minimal,Flanking,Smoldering,Smoldering,Undetermined,,,PT1T,,7/7/2022 9:13:00 PM,Type 3 Incident,11/6/2022 1:00:00 AM,0,100,0,0,,,OSCC,8/3/2022 10:00:00 PM,8/3/2022 1:00:00 PM,8/3/2022 10:00:00 PM,F,Type 3 Team,Washburn,Mariposa Grove of Giant Sequoias,WF,FI,37.4997,-119.6139,,,{F8770EE9-DD20-421D-B4BB-637EA51F028A},,0,1,0,0,0,0,000038,wildcad,100,100,"Wawona, CA",Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,SC02,NPS,CAYNP,US-CA,,,Brush (2 feet),Closed Timber Litter,64,2022-CAYNP-000038,,Approved Decision,49000000,Type 3 Incident,10/4/2022 1:01:25 AM,7/7/2022 9:14:42 PM,11/7/2022 5:10:33 PM,IRWIN,0,,,{900BD000-EDE4-45D6-B9A0-D32AFC4CE314},f4826ccd-0c18-402d-9eb0-0ef5fc56bae5,0.00201543894081624,0.417354478151445
15097,,Upper ,Wildfire Final Fire Perimeter,Hand Sketch,0.1,10/5/2022 11:30:26 PM,10/5/2022 11:30:26 PM,10/5/2022 11:30:26 PM,{EADEC905-4833-4E13-B113-96C6E996827D},,0.004394585172915,{2EB8482A-2864-471C-9BCE-8AF596236F69},Decertified,23847968,,FIREREPORTING,,7/20/2022 10:14:00 PM,7/20/2022 10:14:00 PM,wildcad,0.1,0.1,CAYPCC,,,,,,,,,,Undetermined,,,PV9H,,7/20/2022 7:15:00 PM,,7/21/2022 12:46:00 AM,,,,,,,OSCC,,,,,,Upper ,,WF,FI,37.754774,-119.610987,,,{EADEC905-4833-4E13-B113-96C6E996827D},,0,1,0,0,0,,000048,wildcad,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,SC02,NPS,CAYNP,US-CA,,,,,,2022-CAYNP-000048,,No Decision,,,,7/20/2022 7:22:02 PM,8/3/2022 8:34:36 PM,IRWIN,0,,,{98151D6F-61DB-425D-9DE0-445DE3771624},5cbc3bdc-c0f6-46d6-bc45-d24a12a08d61,1.81807990884408E-09,0.000194931356130774
15161,5572,SMITH,Wildfire Final Fire Perimeter,Hand Sketch,2.34,,3/14/2023 3:13:42 PM,1/19/2023 10:47:49 PM,{8673E32F-97ED-4EAF-AE6C-3FC09AB698B1},{4EC42EA9-F10A-4802-A45E-8405258A50CA},2.3448777486293,{5A80BEE9-0ABD-49F8-9CDE-30E34610E545},FFP,3135592,,CERTIFIED,4.35,2/20/2022 10:14:00 PM,,cfcad,2,,CAMMCC,,,,,1/19/2023 10:47:45 PM,,,,,,,,,,2/20/2022 6:41:01 PM,,3/14/2022 7:00:00 PM,,,,,,,OSCC,,,,,,SMITH,,WF,FI,37.783513,-120.111489,,,,1,,,,,,,004123,cfcad,,,,Mariposa,CAMMCC,06043,,CAMMU,,Private,Private,,,,,,,,USFS,CASTF,US-CA,Nonburnable,NB1,,,,2022-CAMMU-004123,{4EC42EA9-F10A-4802-A45E-8405258A50CA},,,,,2/20/2022 6:41:07 PM,2/20/2022 8:35:02 PM,FODR,,,,{EC630D58-077C-4719-AC7E-0E449A940269},901bfc46-63ac-4c0d-8134-a824824d4bbb,9.70524524745997E-07,0.00390021751847583
15187,5523,Turner,Wildfire Final Fire Perimeter,Auto-generated,0.1,,3/14/2023 3:13:42 PM,1/27/2023 6:17:38 PM,{F34BA5A3-E4D2-4CC1-B735-30C1924B9253},{378E6F0A-3195-46E8-8F88-FA15EA1F4CAA},0.239234045594171,{75F562C3-47CE-4549-941B-1A11EF48E4C7},FFP,3246168,,CERTIFIED,0.34,,,wildcad,0.1,,CAYPCC,,,,,1/27/2023 6:17:33 PM,,,,,,,,P15Z,,9/11/2022 2:11:00 PM,,9/11/2022 5:16:00 PM,,,,,,,OSCC,,,,,,TURNER,,WF,FI,37.59048,-119.6531,,9/11/2022 3:16:00 PM,,,,1,,,0,,000075,firecode,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TU5,,,,2022-CAYNP-000075,{378E6F0A-3195-46E8-8F88-FA15EA1F4CAA},,,,,9/11/2022 2:12:29 PM,9/11/2022 2:13:21 PM,FODR,,,,{535B2560-1188-41B5-A1B8-F3BC04301691},e9f906d2-af00-42ae-ad6c-87ac1bfb973f,9.87674866337329E-08,0.00112664804623779
23283,19420,Pika,Wildfire Final Fire Perimeter,IR Image Interpretation,841,12/15/2023 5:19:06 PM,12/15/2023 5:19:06 PM,12/15/2023 5:19:06 PM,{7FE57EDC-93C7-47C1-BAE2-F902D1954569},{A27BAB34-A888-4871-85E7-C2B46F8AC27D},840.229665201784,,FFP,3620329,,CERTIFIED,840.23,8/15/2023 10:50:00 PM,,wildcade,0.1,,CAYPCC,,,,,12/15/2023 5:19:03 PM,,,,,,,,QAZ2,,6/29/2023 4:20:00 PM,Type 4 Incident,11/16/2023 2:00:00 AM,,,,,,,OSCC,,,,,,PIKA,,WF,FI,37.76295,-119.559767,,6/30/2023 5:00:00 PM,,,,1,,,,,000050,wildcade,,,Yosemite,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TU1,,,,2023-CAYNP-000050,{A27BAB34-A888-4871-85E7-C2B46F8AC27D},,,,,6/29/2023 4:22:53 PM,11/15/2023 10:01:57 PM,FODR,,,,{10ADDB7D-CF61-42B5-B3C4-3E49350A69A2},9a27feed-596a-461e-9196-9998058cb7ad,0.000347723273080192,0.131283550981911
